DATE,DATETIME,CASH_TYPE,CARD,MONEY,PRODUCTS
2024-03-03,2024-03-03 17:08:45.895,card,ANON-0000-0000-0019,775.05,RAM 32GB DDR5
2024-03-03,2024-03-03 18:03:23.369,card,ANON-0000-0000-0020,173.46,RAM 8GB DDR4
2024-03-03,2024-03-03 18:04:27.946,card,ANON-0000-0000-0020,172.16,RAM 8GB DDR4
2024-03-03,2024-03-03 18:08:04.959,card,ANON-0000-0000-0020,144.44,Serviço de Formatação
2024-03-04,2024-03-04 10:03:51.994,card,ANON-0000-0000-0001,117.06,Serviço de Limpeza
2024-03-04,2024-03-04 10:54:50.958,card,ANON-0000-0000-0021,115.05,Serviço de Limpeza
2024-03-04,2024-03-04 11:05:16.184,card,ANON-0000-0000-0012,175.87,RAM 8GB DDR4
2024-03-04,2024-03-04 14:04:37.734,card,ANON-0000-0000-0022,623.34,CPU i3-12100
2024-03-05,2024-03-05 09:59:52.651,card,ANON-0000-0000-0001,115.19,Serviço de Limpeza
2024-03-05,2024-03-05 14:34:55.963,card,ANON-0000-0000-0023,121.57,Serviço de Limpeza
2024-03-05,2024-03-05 17:34:06.043,card,ANON-0000-0000-0024,114.62,Serviço de Limpeza
2024-03-05,2024-03-05 17:35:25.021,card,ANON-0000-0000-0025,154.35,Serviço de Formatação
2024-03-05,2024-03-05 17:36:28.571,card,ANON-0000-0000-0026,297.11,RAM 16GB DDR4
2024-03-05,2024-03-05 17:37:13.659,card,ANON-0000-0000-0027,143.34,Serviço de Formatação
2024-03-05,2024-03-05 17:38:09.354,card,ANON-0000-0000-0009,150.54,Serviço de Formatação
2024-03-05,2024-03-05 17:56:15.776,card,ANON-0000-0000-0028,717.55,RAM 32GB DDR5
2024-03-05,2024-03-05 18:01:31.242,card,ANON-0000-0000-0028,147.69,Serviço de Formatação
2024-03-06,2024-03-06 12:30:27.089,cash,,187.43,RAM 8GB DDR4
2024-03-06,2024-03-06 13:24:07.667,card,ANON-0000-0000-0012,254.73,Serviço de Montagem
2024-03-06,2024-03-06 13:25:14.351,card,ANON-0000-0000-0012,713.07,RAM 32GB DDR5
2024-03-06,2024-03-06 14:52:01.761,card,ANON-0000-0000-0029,1725.53,CPU i5-14600K
2024-03-06,2024-03-06 14:53:18.344,card,ANON-0000-0000-0029,1787.54,CPU i5-14600K
2024-03-07,2024-03-07 10:08:58.945,cash,,115.29,Serviço de Limpeza
2024-03-07,2024-03-07 10:18:40.543,card,ANON-0000-0000-0030,150.07,Serviço de Formatação
2024-03-07,2024-03-07 11:03:58.976,card,ANON-0000-0000-0031,114.2,Serviço de Limpeza
2024-03-07,2024-03-07 11:25:43.977,cash,,114.7,Serviço de Limpeza
2024-03-07,2024-03-07 15:40:22.606,card,ANON-0000-0000-0032,251.61,Serviço de Montagem
2024-03-07,2024-03-07 15:41:28.784,card,ANON-0000-0000-0033,179.75,RAM 8GB DDR4
2024-03-08,2024-03-08 10:34:41.283,card,ANON-0000-0000-0012,769.55,RAM 32GB DDR5
2024-03-08,2024-03-08 12:22:28.653,card,ANON-0000-0000-0034,1877.54,CPU i5-14600K
2024-03-08,2024-03-08 13:53:02.042,card,ANON-0000-0000-0035,244.21,Serviço de Montagem
2024-03-08,2024-03-08 14:44:12.686,card,ANON-0000-0000-0012,258.48,Serviço de Montagem
2024-03-08,2024-03-08 14:45:11.048,card,ANON-0000-0000-0033,239.07,Serviço de Montagem
2024-03-08,2024-03-08 14:46:11.155,card,ANON-0000-0000-0012,178.65,RAM 8GB DDR4
2024-03-08,2024-03-08 18:57:51.451,card,ANON-0000-0000-0036,116.95,Serviço de Limpeza
2024-03-08,2024-03-08 18:59:24.941,card,ANON-0000-0000-0037,124.89,Serviço de Limpeza
2024-03-09,2024-03-09 11:49:37.292,cash,,152.99,Serviço de Formatação
2024-03-09,2024-03-09 12:05:15.559,card,ANON-0000-0000-0038,582.21,CPU i3-12100
2024-03-09,2024-03-09 12:07:38.275,card,ANON-0000-0000-0039,254.34,Serviço de Montagem
2024-03-09,2024-03-09 12:09:47.714,card,ANON-0000-0000-0012,1791.29,CPU i5-14600K
2024-03-09,2024-03-09 12:13:03.521,card,ANON-0000-0000-0040,238.61,Serviço de Montagem
2024-03-09,2024-03-09 12:14:26.458,card,ANON-0000-0000-0040,255.65,Serviço de Montagem
2024-03-09,2024-03-09 13:09:22.229,card,ANON-0000-0000-0041,117.58,Serviço de Limpeza
2024-03-09,2024-03-09 13:41:06.167,card,ANON-0000-0000-0042,174.66,RAM 8GB DDR4
2024-03-09,2024-03-09 13:53:10.408,card,ANON-0000-0000-0043,750.95,RAM 32GB DDR5
2024-03-09,2024-03-09 13:54:36.828,card,ANON-0000-0000-0043,1814.19,CPU i5-14600K
2024-03-09,2024-03-09 14:08:01.829,card,ANON-0000-0000-0009,180.39,RAM 8GB DDR4
2024-03-09,2024-03-09 14:26:52.873,card,ANON-0000-0000-0044,146.28,Serviço de Formatação
2024-03-09,2024-03-09 19:17:57.572,card,ANON-0000-0000-0009,1773.0,CPU i5-14600K
2024-03-09,2024-03-09 19:19:10.084,card,ANON-0000-0000-0009,157.01,Serviço de Formatação
2024-03-10,2024-03-10 07:44:18.538,cash,,245.11,Serviço de Montagem
2024-03-10,2024-03-10 07:45:29.441,cash,,181.12,RAM 8GB DDR4
2024-03-10,2024-03-10 10:06:02.960,cash,,122.2,Serviço de Limpeza
2024-03-10,2024-03-10 11:19:20.764,card,ANON-0000-0000-0045,599.03,CPU i3-12100
2024-03-10,2024-03-10 17:51:03.048,cash,,176.44,RAM 8GB DDR4
2024-03-10,2024-03-10 19:34:00.478,card,ANON-0000-0000-0046,118.49,Serviço de Limpeza
2024-03-10,2024-03-10 19:35:54.712,card,ANON-0000-0000-0046,723.56,RAM 32GB DDR5
2024-03-11,2024-03-11 10:18:46.724,cash,,123.94,Serviço de Limpeza
2024-03-11,2024-03-11 11:24:15.022,cash,,1753.86,CPU i5-14600K
2024-03-11,2024-03-11 11:24:51.565,cash,,770.95,RAM 32GB DDR5
2024-03-11,2024-03-11 11:26:44.221,cash,,253.89,Serviço de Montagem
2024-03-11,2024-03-11 11:32:58.781,card,ANON-0000-0000-0035,1844.68,CPU i5-14600K
2024-03-11,2024-03-11 16:24:26.401,card,ANON-0000-0000-0047,262.37,Serviço de Montagem
2024-03-11,2024-03-11 16:25:45.664,card,ANON-0000-0000-0047,121.87,Serviço de Limpeza
2024-03-11,2024-03-11 16:50:49.608,card,ANON-0000-0000-0048,781.39,RAM 32GB DDR5
2024-03-12,2024-03-12 10:15:00.297,cash,,119.18,Serviço de Limpeza
2024-03-12,2024-03-12 10:15:34.543,card,ANON-0000-0000-0033,257.07,Serviço de Montagem
2024-03-12,2024-03-12 10:16:24.886,card,ANON-0000-0000-0033,725.29,RAM 32GB DDR5
2024-03-12,2024-03-12 11:20:45.632,card,ANON-0000-0000-0049,148.49,Serviço de Formatação
2024-03-12,2024-03-12 12:46:23.275,card,ANON-0000-0000-0004,176.62,RAM 8GB DDR4
2024-03-12,2024-03-12 12:47:26.027,card,ANON-0000-0000-0004,254.33,Serviço de Montagem
2024-03-12,2024-03-12 16:15:43.325,card,ANON-0000-0000-0050,243.77,Serviço de Montagem
2024-03-13,2024-03-13 11:06:43.038,card,ANON-0000-0000-0048,153.14,Serviço de Formatação
2024-03-13,2024-03-13 11:48:16.753,card,ANON-0000-0000-0004,242.33,Serviço de Montagem
2024-03-13,2024-03-13 12:18:06.336,card,ANON-0000-0000-0051,246.35,Serviço de Montagem
2024-03-13,2024-03-13 12:19:05.128,card,ANON-0000-0000-0051,246.75,Serviço de Montagem
2024-03-13,2024-03-13 12:34:30.315,cash,,614.28,CPU i3-12100
2024-03-13,2024-03-13 14:26:40.875,card,ANON-0000-0000-0052,179.17,RAM 8GB DDR4
2024-03-13,2024-03-13 15:40:22.261,card,ANON-0000-0000-0053,625.26,CPU i3-12100
2024-03-13,2024-03-13 15:41:20.424,card,ANON-0000-0000-0053,570.44,CPU i3-12100
2024-03-13,2024-03-13 16:47:09.373,card,ANON-0000-0000-0054,628.16,CPU i3-12100
2024-03-14,2024-03-14 10:02:12.241,cash,,124.22,Serviço de Limpeza
2024-03-14,2024-03-14 10:28:33.017,card,ANON-0000-0000-0055,118.73,Serviço de Limpeza
2024-03-14,2024-03-14 10:29:34.283,card,ANON-0000-0000-0055,149.98,Serviço de Formatação
2024-03-14,2024-03-14 13:27:29.536,card,ANON-0000-0000-0012,767.15,RAM 32GB DDR5
2024-03-14,2024-03-14 13:28:24.527,card,ANON-0000-0000-0012,250.86,Serviço de Montagem
2024-03-14,2024-03-14 13:51:59.905,card,ANON-0000-0000-0056,183.56,RAM 8GB DDR4
2024-03-14,2024-03-14 13:52:56.248,card,ANON-0000-0000-0057,581.88,CPU i3-12100
2024-03-14,2024-03-14 15:20:38.367,card,ANON-0000-0000-0058,118.42,Serviço de Limpeza
2024-03-14,2024-03-14 16:04:09.506,card,ANON-0000-0000-0059,179.56,RAM 8GB DDR4
2024-03-14,2024-03-14 16:54:38.202,card,ANON-0000-0000-0050,617.28,CPU i3-12100
2024-03-14,2024-03-14 18:58:55.854,card,ANON-0000-0000-0019,146.15,Serviço de Formatação
2024-03-14,2024-03-14 19:00:08.663,card,ANON-0000-0000-0012,764.44,RAM 32GB DDR5
2024-03-15,2024-03-15 10:02:16.533,cash,,124.33,Serviço de Limpeza
2024-03-15,2024-03-15 10:53:02.180,card,ANON-0000-0000-0060,148.6,Serviço de Formatação
2024-03-15,2024-03-15 18:19:27.922,card,ANON-0000-0000-0012,244.94,Serviço de Montagem
2024-03-16,2024-03-16 12:06:55.209,card,ANON-0000-0000-0061,183.5,RAM 8GB DDR4
2024-03-16,2024-03-16 12:07:53.915,card,ANON-0000-0000-0061,256.26,Serviço de Montagem
2024-03-16,2024-03-16 15:58:18.458,card,ANON-0000-0000-0009,741.88,RAM 32GB DDR5
2024-03-16,2024-03-16 16:03:21.738,card,ANON-0000-0000-0009,754.5,RAM 32GB DDR5
2024-03-16,2024-03-16 16:04:11.444,card,ANON-0000-0000-0012,779.97,RAM 32GB DDR5
2024-03-16,2024-03-16 17:58:07.241,card,ANON-0000-0000-0062,188.98,RAM 8GB DDR4
2024-03-17,2024-03-17 10:10:21.399,cash,,124.55,Serviço de Limpeza
2024-03-17,2024-03-17 12:55:26.065,card,ANON-0000-0000-0063,713.99,RAM 32GB DDR5
2024-03-18,2024-03-18 11:17:59.671,card,ANON-0000-0000-0064,753.46,RAM 32GB DDR5
2024-03-18,2024-03-18 15:31:39.725,card,ANON-0000-0000-0003,254.07,Serviço de Montagem
2024-03-18,2024-03-18 15:32:38.239,card,ANON-0000-0000-0003,260.31,Serviço de Montagem
2024-03-18,2024-03-18 15:33:36.708,card,ANON-0000-0000-0003,260.05,Serviço de Montagem
2024-03-19,2024-03-19 10:20:25.996,cash,,752.95,RAM 32GB DDR5
2024-03-19,2024-03-19 14:02:21.536,card,ANON-0000-0000-0065,125.48,Serviço de Limpeza
2024-03-19,2024-03-19 14:03:19.765,card,ANON-0000-0000-0065,116.84,Serviço de Limpeza
2024-03-19,2024-03-19 15:04:36.309,card,ANON-0000-0000-0049,154.47,Serviço de Formatação
2024-03-19,2024-03-19 16:53:48.706,card,ANON-0000-0000-0066,180.3,RAM 8GB DDR4
2024-03-19,2024-03-19 19:26:32.677,cash,,154.55,Serviço de Formatação
2024-03-20,2024-03-20 11:41:16.403,card,ANON-0000-0000-0012,786.76,RAM 32GB DDR5
2024-03-20,2024-03-20 12:21:07.728,cash,,123.11,Serviço de Limpeza
2024-03-20,2024-03-20 12:30:48.968,card,ANON-0000-0000-0049,735.5,RAM 32GB DDR5
2024-03-20,2024-03-20 13:16:47.394,card,ANON-0000-0000-0067,1730.41,CPU i5-14600K
2024-03-20,2024-03-20 16:42:38.117,card,ANON-0000-0000-0050,311.87,RAM 16GB DDR4
2024-03-20,2024-03-20 17:50:28.781,card,ANON-0000-0000-0068,114.4,Serviço de Limpeza
2024-03-21,2024-03-21 10:18:56.977,cash,,1726.91,CPU i5-14600K
2024-03-21,2024-03-21 12:25:09.194,card,ANON-0000-0000-0012,765.67,RAM 32GB DDR5
2024-03-21,2024-03-21 12:26:17.428,card,ANON-0000-0000-0012,1859.38,CPU i5-14600K
2024-03-21,2024-03-21 17:21:01.453,cash,,255.25,Serviço de Montagem
2024-03-21,2024-03-21 17:22:01.353,card,ANON-0000-0000-0012,749.52,RAM 32GB DDR5
2024-03-21,2024-03-21 19:20:36.508,card,ANON-0000-0000-0069,121.65,Serviço de Limpeza
2024-03-22,2024-03-22 10:35:53.619,card,ANON-0000-0000-0070,182.12,RAM 8GB DDR4
2024-03-22,2024-03-22 13:29:20.343,card,ANON-0000-0000-0071,177.07,RAM 8GB DDR4
2024-03-22,2024-03-22 16:15:14.448,cash,,1800.72,CPU i5-14600K
2024-03-22,2024-03-22 17:17:03.724,card,ANON-0000-0000-0012,241.93,Serviço de Montagem
2024-03-22,2024-03-22 17:17:58.991,card,ANON-0000-0000-0012,613.47,CPU i3-12100
2024-03-22,2024-03-22 17:20:49.490,card,ANON-0000-0000-0050,248.28,Serviço de Montagem
2024-03-23,2024-03-23 10:43:59.559,card,ANON-0000-0000-0072,115.79,Serviço de Limpeza
2024-03-23,2024-03-23 10:45:07.157,card,ANON-0000-0000-0073,184.92,RAM 8GB DDR4
2024-03-23,2024-03-23 13:10:07.661,card,ANON-0000-0000-0074,1815.86,CPU i5-14600K
2024-03-23,2024-03-23 13:11:12.230,card,ANON-0000-0000-0074,287.9,RAM 16GB DDR4
2024-03-23,2024-03-23 14:44:41.276,card,ANON-0000-0000-0075,181.82,RAM 8GB DDR4
2024-03-23,2024-03-23 15:47:19.062,card,ANON-0000-0000-0076,121.93,Serviço de Limpeza
2024-03-23,2024-03-23 15:49:33.813,card,ANON-0000-0000-0076,185.26,RAM 8GB DDR4
2024-03-23,2024-03-23 16:00:58.386,card,ANON-0000-0000-0009,714.51,RAM 32GB DDR5
2024-03-24,2024-03-24 10:03:56.005,cash,,124.8,Serviço de Limpeza
2024-03-24,2024-03-24 18:45:08.397,card,ANON-0000-0000-0077,118.42,Serviço de Limpeza
2024-03-25,2024-03-25 10:31:47.250,card,ANON-0000-0000-0009,116.67,Serviço de Limpeza
2024-03-25,2024-03-25 11:16:25.671,cash,,177.13,RAM 8GB DDR4
2024-03-25,2024-03-25 14:27:09.163,card,ANON-0000-0000-0078,116.86,Serviço de Limpeza
2024-03-25,2024-03-25 14:29:25.343,card,ANON-0000-0000-0017,125.04,Serviço de Limpeza
2024-03-25,2024-03-25 18:37:30.650,card,ANON-0000-0000-0024,182.08,RAM 8GB DDR4
2024-03-25,2024-03-25 19:34:24.542,card,ANON-0000-0000-0079,1832.45,CPU i5-14600K
2024-03-26,2024-03-26 10:35:49.679,card,ANON-0000-0000-0055,305.47,RAM 16GB DDR4
2024-03-26,2024-03-26 10:36:36.151,card,ANON-0000-0000-0055,123.81,Serviço de Limpeza
2024-03-26,2024-03-26 10:42:30.170,card,ANON-0000-0000-0080,115.69,Serviço de Limpeza
2024-03-26,2024-03-26 11:11:47.335,card,ANON-0000-0000-0009,735.21,RAM 32GB DDR5
2024-03-26,2024-03-26 13:35:52.773,card,ANON-0000-0000-0003,244.61,Serviço de Montagem
2024-03-26,2024-03-26 13:36:49.644,card,ANON-0000-0000-0032,744.53,RAM 32GB DDR5
2024-03-26,2024-03-26 13:37:59.723,card,ANON-0000-0000-0059,747.16,RAM 32GB DDR5
2024-03-26,2024-03-26 13:57:53.677,card,ANON-0000-0000-0050,260.65,Serviço de Montagem
2024-03-26,2024-03-26 15:48:02.270,card,ANON-0000-0000-0081,116.51,Serviço de Limpeza
2024-03-26,2024-03-26 18:33:38.568,card,ANON-0000-0000-0024,119.58,Serviço de Limpeza
2024-03-26,2024-03-26 18:34:54.648,card,ANON-0000-0000-0009,147.64,Serviço de Formatação
2024-03-27,2024-03-27 11:04:51.174,card,ANON-0000-0000-0003,712.8,RAM 32GB DDR5
2024-03-27,2024-03-27 11:05:58.236,card,ANON-0000-0000-0003,175.21,RAM 8GB DDR4
2024-03-27,2024-03-27 12:57:00.462,card,ANON-0000-0000-0082,182.95,RAM 8GB DDR4
2024-03-27,2024-03-27 13:35:20.039,card,ANON-0000-0000-0083,154.32,Serviço de Formatação
2024-03-27,2024-03-27 14:22:31.662,card,ANON-0000-0000-0012,1828.99,CPU i5-14600K
2024-03-27,2024-03-27 14:23:35.380,card,ANON-0000-0000-0012,243.79,Serviço de Montagem
2024-03-27,2024-03-27 18:30:11.833,card,ANON-0000-0000-0084,760.49,RAM 32GB DDR5
2024-03-27,2024-03-27 19:31:12.442,cash,,118.57,Serviço de Limpeza
2024-03-28,2024-03-28 14:24:47.092,card,ANON-0000-0000-0085,780.7,RAM 32GB DDR5
2024-03-28,2024-03-28 17:24:46.244,card,ANON-0000-0000-0012,774.94,RAM 32GB DDR5
2024-03-28,2024-03-28 17:27:05.304,card,ANON-0000-0000-0012,257.67,Serviço de Montagem
2024-03-28,2024-03-28 17:32:44.652,card,ANON-0000-0000-0086,116.17,Serviço de Limpeza
2024-03-29,2024-03-29 10:56:19.495,card,ANON-0000-0000-0087,114.44,Serviço de Limpeza
2024-03-29,2024-03-29 12:34:17.383,card,ANON-0000-0000-0088,1866.79,CPU i5-14600K
2024-03-29,2024-03-29 12:41:32.125,card,ANON-0000-0000-0088,1864.86,CPU i5-14600K
2024-03-29,2024-03-29 13:22:44.618,cash,,1758.22,CPU i5-14600K
2024-03-30,2024-03-30 11:59:19.854,card,ANON-0000-0000-0069,121.63,Serviço de Limpeza
2024-03-30,2024-03-30 13:49:25.815,cash,,1870.28,CPU i5-14600K
2024-03-30,2024-03-30 16:12:31.786,card,ANON-0000-0000-0017,121.37,Serviço de Limpeza
2024-03-30,2024-03-30 16:36:40.513,card,ANON-0000-0000-0009,116.35,Serviço de Limpeza
2024-03-30,2024-03-30 16:37:57.553,card,ANON-0000-0000-0009,187.25,RAM 8GB DDR4
2024-03-31,2024-03-31 10:40:04.523,card,ANON-0000-0000-0089,1866.19,CPU i5-14600K
2024-03-31,2024-03-31 19:36:45.000,cash,,259.8,Serviço de Montagem
2024-04-01,2024-04-01 10:28:47.601,card,ANON-0000-0000-0004,247.45,Serviço de Montagem
2024-04-01,2024-04-01 10:29:42.318,card,ANON-0000-0000-0004,183.98,RAM 8GB DDR4
2024-04-01,2024-04-01 10:30:43.735,card,ANON-0000-0000-0004,177.7,RAM 8GB DDR4
2024-04-01,2024-04-01 11:15:43.836,card,ANON-0000-0000-0009,184.9,RAM 8GB DDR4
2024-04-01,2024-04-01 17:01:42.924,cash,,1877.94,CPU i5-14600K
2024-04-01,2024-04-01 18:18:42.372,card,ANON-0000-0000-0024,185.48,RAM 8GB DDR4
2024-04-01,2024-04-01 18:45:27.436,card,ANON-0000-0000-0090,146.51,Serviço de Formatação
2024-04-02,2024-04-02 10:01:14.022,card,ANON-0000-0000-0001,125.57,Serviço de Limpeza
2024-04-02,2024-04-02 16:18:34.169,card,ANON-0000-0000-0003,244.61,Serviço de Montagem
2024-04-02,2024-04-02 16:19:28.460,card,ANON-0000-0000-0003,786.97,RAM 32GB DDR5
2024-04-02,2024-04-02 19:59:31.942,cash,,1716.04,CPU i5-14600K
2024-04-03,2024-04-03 10:19:13.644,card,ANON-0000-0000-0003,771.29,RAM 32GB DDR5
2024-04-03,2024-04-03 10:20:07.655,card,ANON-0000-0000-0003,239.6,Serviço de Montagem
2024-04-03,2024-04-03 13:12:05.367,card,ANON-0000-0000-0012,1873.93,CPU i5-14600K
2024-04-03,2024-04-03 15:36:11.735,cash,,771.44,RAM 32GB DDR5
2024-04-04,2024-04-04 10:44:55.988,card,ANON-0000-0000-0091,118.12,Serviço de Limpeza
2024-04-04,2024-04-04 11:26:38.085,card,ANON-0000-0000-0092,120.08,Serviço de Limpeza
2024-04-04,2024-04-04 11:27:48.411,card,ANON-0000-0000-0093,1780.51,CPU i5-14600K
2024-04-04,2024-04-04 12:23:02.216,card,ANON-0000-0000-0094,730.23,RAM 32GB DDR5
2024-04-04,2024-04-04 19:42:07.740,cash,,119.5,Serviço de Limpeza
2024-04-05,2024-04-05 10:40:42.728,card,ANON-0000-0000-0095,251.8,Serviço de Montagem
2024-04-05,2024-04-05 10:42:06.204,card,ANON-0000-0000-0012,245.94,Serviço de Montagem
2024-04-05,2024-04-05 11:06:14.643,card,ANON-0000-0000-0096,733.49,RAM 32GB DDR5
2024-04-05,2024-04-05 12:14:27.975,card,ANON-0000-0000-0097,172.07,RAM 8GB DDR4
2024-04-05,2024-04-05 14:23:40.387,card,ANON-0000-0000-0098,125.28,Serviço de Limpeza
2024-04-05,2024-04-05 14:24:50.417,card,ANON-0000-0000-0098,733.13,RAM 32GB DDR5
2024-04-05,2024-04-05 15:30:50.383,cash,,119.17,Serviço de Limpeza
2024-04-05,2024-04-05 15:54:15.768,cash,,1735.56,CPU i5-14600K
2024-04-05,2024-04-05 15:55:30.947,cash,,243.04,Serviço de Montagem
2024-04-05,2024-04-05 16:17:43.975,cash,,299.08,RAM 16GB DDR4
2024-04-05,2024-04-05 16:18:23.558,card,ANON-0000-0000-0003,598.38,CPU i3-12100
2024-04-06,2024-04-06 12:32:31.398,card,ANON-0000-0000-0099,176.64,RAM 8GB DDR4
2024-04-06,2024-04-06 14:13:18.733,card,ANON-0000-0000-0040,1813.06,CPU i5-14600K
2024-04-06,2024-04-06 14:14:27.029,card,ANON-0000-0000-0040,252.41,Serviço de Montagem
2024-04-06,2024-04-06 14:49:50.183,card,ANON-0000-0000-0009,116.25,Serviço de Limpeza
2024-04-07,2024-04-07 10:12:53.204,card,ANON-0000-0000-0091,117.07,Serviço de Limpeza
2024-04-07,2024-04-07 12:44:31.936,card,ANON-0000-0000-0040,1767.7,CPU i5-14600K
2024-04-07,2024-04-07 12:46:05.118,card,ANON-0000-0000-0040,1749.68,CPU i5-14600K
2024-04-07,2024-04-07 14:16:24.949,card,ANON-0000-0000-0100,728.19,RAM 32GB DDR5
2024-04-07,2024-04-07 14:17:30.628,card,ANON-0000-0000-0100,586.63,CPU i3-12100
2024-04-07,2024-04-07 18:01:16.608,card,ANON-0000-0000-0101,149.99,Serviço de Formatação
2024-04-07,2024-04-07 18:02:03.878,card,ANON-0000-0000-0101,186.21,RAM 8GB DDR4
2024-04-08,2024-04-08 10:58:21.106,card,ANON-0000-0000-0102,181.39,RAM 8GB DDR4
2024-04-08,2024-04-08 10:59:27.558,card,ANON-0000-0000-0103,1827.39,CPU i5-14600K
2024-04-08,2024-04-08 11:01:20.464,card,ANON-0000-0000-0012,259.34,Serviço de Montagem
2024-04-08,2024-04-08 11:04:47.030,card,ANON-0000-0000-0104,1725.96,CPU i5-14600K
2024-04-08,2024-04-08 12:54:25.897,cash,,611.93,CPU i3-12100
2024-04-08,2024-04-08 15:43:36.881,cash,,187.04,RAM 8GB DDR4
2024-04-08,2024-04-08 16:41:37.806,card,ANON-0000-0000-0017,117.75,Serviço de Limpeza
2024-04-08,2024-04-08 18:18:09.713,card,ANON-0000-0000-0105,261.11,Serviço de Montagem
2024-04-08,2024-04-08 19:22:27.477,card,ANON-0000-0000-0024,182.1,RAM 8GB DDR4
2024-04-08,2024-04-08 19:23:59.268,card,ANON-0000-0000-0106,1790.32,CPU i5-14600K
2024-04-09,2024-04-09 10:22:27.359,cash,,1889.64,CPU i5-14600K
2024-04-09,2024-04-09 10:24:10.103,cash,,252.15,Serviço de Montagem
2024-04-09,2024-04-09 11:42:28.468,card,ANON-0000-0000-0091,123.06,Serviço de Limpeza
2024-04-09,2024-04-09 15:11:48.720,card,ANON-0000-0000-0107,153.28,Serviço de Formatação
2024-04-09,2024-04-09 17:25:23.936,card,ANON-0000-0000-0049,146.64,Serviço de Formatação
2024-04-10,2024-04-10 10:21:26.175,cash,,603.15,CPU i3-12100
2024-04-10,2024-04-10 17:55:07.018,cash,,142.95,Serviço de Formatação
2024-04-10,2024-04-10 17:55:31.244,card,ANON-0000-0000-0108,571.66,CPU i3-12100
2024-04-10,2024-04-10 18:24:59.290,card,ANON-0000-0000-0009,1862.05,CPU i5-14600K
2024-04-10,2024-04-10 20:04:05.386,card,ANON-0000-0000-0109,118.68,Serviço de Limpeza
2024-04-11,2024-04-11 10:41:23.155,card,ANON-0000-0000-0110,259.44,Serviço de Montagem
2024-04-11,2024-04-11 10:42:59.365,card,ANON-0000-0000-0110,262.46,Serviço de Montagem
2024-04-11,2024-04-11 16:35:23.069,card,ANON-0000-0000-0017,121.07,Serviço de Limpeza
2024-04-11,2024-04-11 19:16:56.588,card,ANON-0000-0000-0106,1800.64,CPU i5-14600K
2024-04-11,2024-04-11 19:18:36.619,card,ANON-0000-0000-0024,188.67,RAM 8GB DDR4
2024-04-12,2024-04-12 19:03:43.403,card,ANON-0000-0000-0019,153.71,Serviço de Formatação
2024-04-12,2024-04-12 19:38:23.189,card,ANON-0000-0000-0009,779.6,RAM 32GB DDR5
2024-04-13,2024-04-13 12:29:19.823,card,ANON-0000-0000-0009,114.38,Serviço de Limpeza
2024-04-13,2024-04-13 12:43:02.389,card,ANON-0000-0000-0012,244.79,Serviço de Montagem
